,header,link,text
43,MSFT Stock Price and Quote: Microsoft Corporation trades flat ...,https://www.fxstreet.com/news/msft-stock-price-and-quote-microsoft-corporation-trades-flat-on-rumor-of-looming-competition-202011271123,"Nov 27, 2020 — NASDAQ:MSFT remained unchanged on Wednesday as investors took a breather before the American Thanksgiving ... MSFT Stock Price and Quote: Microsoft Corporation trades flat on rumor of looming competition. NEWS ..."
44,Microsoft Corp Stock News and Research Articles ...,https://www.gurufocus.com/stock/MSFT/article,"Guru stock highlight. Microsoft Corp. (MSFT) One of the largest companies in the world by market capitalization, Microsoft has managed to continue to grow and ..."
45,"Microsoft Stock News, MSFT Earnings & Call Transcripts",https://docoh.com/company/789019/MSFT,"Microsoft Corporation is an American multinational technology company with headquarters in Redmond, Washington. It develops, manufactures, licenses, ..."
46,US:MSFT / Microsoft Corp. - Stock Price Quote and News - Fintel,https://fintel.io/s/us/msft,"US:MSFT / Microsoft Corp. - Stock Price Quote and News. ISIN, US5949181045."
47,"Microsoft (msft) Stock Price, Market Cap, Historical Data ...",https://www.financialexpress.com/investing-abroad/microsoft-msft-stock-price/,"Check here latest Microsoft (msft) share price, market cap, latest news, historical share price data, technical analysis and much more on financialexpress.com."
48,Do Traders View Microsoft Corporation (MSFT) Stock's ...,https://www.investorsobserver.com/news/stock-update/do-traders-view-microsoft-corporation-msft-stocks-current-trend-positively-3,"Jan 20, 2021 — Overall market sentiment has been high on Microsoft Corporation (MSFT) stock lately. MSFT receives a Bullish rating from InvestorsObserver's Stock ... never miss out on the need-to-know market news, movements, and more."
49,MSFT Stock Price | Microsoft Corporation Stock Quote and News,https://polygon.io/quote/MSFT,"Microsoft Corporation (MSFT) stock news, stock charts, stock quotes, earnings."
50,Should You Buy Microsoft (MSFT) Stock? - MSN,https://www.msn.com/en-us/money/topstocks/should-you-buy-microsoft-msft-stock/ar-AAJuNvV,"Oct 28, 2020 — Here are a few pros and cons when evaluating whether MSFT stock is a good buy. ... web search. US News & World Report - Money ..."
51,Microsoft stock news,https://yapiku.cn/bimbo-life-pccrc/microsoft-stock-news.html,"microsoft stock news Barron's is a leading source of financial news, providing in-depth ... Dec 22, 2020 · Satya Nadella owns 1,337,768 shares of Microsoft stock, ..."
52,"Microsoft is not an expensive stock, this investor says ...",https://www.cantechletter.com/2020/06/microsoft-not-expensive/,"Jun 8, 2020 — Investors should stick with a giant like Microsoft (NASDAQ:MSFT), says ... like Microsoft (Microsoft Stock Quote, Chart, News NASDAQ:MSFT), ..."
53,"Microsoft's Profits Rise 33%, Driven by Cloud Computing and ...",https://www.nytimes.com/live/2021/01/26/business/us-economy-coronavirus,"Jan 26, 2021 — Microsoft profits jump 33 percent as pandemic continues shift to cloud computing. ... The company's stock jumped more than 4 percent in aftermarket trading. ... He will also appear on Fox Business and Fox News as an on-air ..."
